country,date,total
Afghanistan,2020-01-22,0
Afghanistan,2020-01-23,0
Afghanistan,2020-01-24,0
Afghanistan,2020-01-25,0
Afghanistan,2020-01-26,0
Afghanistan,2020-01-27,0
Afghanistan,2020-01-28,0
Afghanistan,2020-01-29,0
Afghanistan,2020-01-30,0
Afghanistan,2020-01-31,0
Afghanistan,2020-02-01,0
Afghanistan,2020-02-10,0
Afghanistan,2020-02-11,0
Afghanistan,2020-02-12,0
Afghanistan,2020-02-13,0
Afghanistan,2020-02-14,0
Afghanistan,2020-02-15,0
Afghanistan,2020-02-16,0
Afghanistan,2020-02-17,0
Afghanistan,2020-02-18,0
Afghanistan,2020-02-19,0
Afghanistan,2020-02-02,0
Afghanistan,2020-02-20,0
Afghanistan,2020-02-21,0
Afghanistan,2020-02-22,0
Afghanistan,2020-02-23,0
Afghanistan,2020-02-24,1
Afghanistan,2020-02-25,1
Afghanistan,2020-02-26,1
Afghanistan,2020-02-27,1
Afghanistan,2020-02-28,1
Afghanistan,2020-02-29,1
Afghanistan,2020-02-03,0
Afghanistan,2020-02-04,0
Afghanistan,2020-02-05,0
Afghanistan,2020-02-06,0
Afghanistan,2020-02-07,0
Afghanistan,2020-02-08,0
Afghanistan,2020-02-09,0
Afghanistan,2020-03-01,1
Afghanistan,2020-03-10,5
Afghanistan,2020-03-11,7
Afghanistan,2020-03-12,7
Afghanistan,2020-03-13,7
Afghanistan,2020-03-14,11
Afghanistan,2020-03-15,16
Afghanistan,2020-03-16,21
Afghanistan,2020-03-17,22
Afghanistan,2020-03-18,22
Afghanistan,2020-03-19,22
Afghanistan,2020-03-02,1
Afghanistan,2020-03-20,24
Afghanistan,2020-03-21,24
Afghanistan,2020-03-22,40
Afghanistan,2020-03-23,40
Afghanistan,2020-03-24,74
Afghanistan,2020-03-25,84
Afghanistan,2020-03-26,94
Afghanistan,2020-03-27,110
Afghanistan,2020-03-28,110
Afghanistan,2020-03-29,120
Afghanistan,2020-03-03,1
Afghanistan,2020-03-30,170
Afghanistan,2020-03-31,174
Afghanistan,2020-03-04,1
Afghanistan,2020-03-05,1
Afghanistan,2020-03-06,1
Afghanistan,2020-03-07,1
Afghanistan,2020-03-08,4
Afghanistan,2020-03-09,4
Afghanistan,2020-04-01,237
Afghanistan,2020-04-10,521
Afghanistan,2020-04-11,555
Afghanistan,2020-04-12,607
Afghanistan,2020-04-13,665
Afghanistan,2020-04-14,714
Afghanistan,2020-04-15,784
Afghanistan,2020-04-16,840
Afghanistan,2020-04-17,906
Afghanistan,2020-04-18,933
Afghanistan,2020-04-19,996
Afghanistan,2020-04-02,273
Afghanistan,2020-04-20,1026
Afghanistan,2020-04-21,1092
Afghanistan,2020-04-22,1176
Afghanistan,2020-04-23,1279
Afghanistan,2020-04-24,1351
Afghanistan,2020-04-25,1463
Afghanistan,2020-04-26,1531
Afghanistan,2020-04-27,1703
Afghanistan,2020-04-28,1828
Afghanistan,2020-04-29,1939
Afghanistan,2020-04-03,281
Afghanistan,2020-04-30,2171
Afghanistan,2020-04-04,299
Afghanistan,2020-04-05,349
Afghanistan,2020-04-06,367
Afghanistan,2020-04-07,423
Afghanistan,2020-04-08,444
Afghanistan,2020-04-09,484
Afghanistan,2020-05-01,2335
Afghanistan,2020-05-10,4402
Afghanistan,2020-05-11,4687
Afghanistan,2020-05-12,4963
Afghanistan,2020-05-13,5226
Afghanistan,2020-05-14,5639
Afghanistan,2020-05-15,6053
Afghanistan,2020-05-16,6402
Afghanistan,2020-05-17,6664
Afghanistan,2020-05-18,7072
Afghanistan,2020-05-19,7653
Afghanistan,2020-05-02,2469
Afghanistan,2020-05-20,8145
Afghanistan,2020-05-21,8676
Afghanistan,2020-05-22,9216
Afghanistan,2020-05-23,9998
Afghanistan,2020-05-24,10582
Afghanistan,2020-05-25,11173
Afghanistan,2020-05-26,11831
Afghanistan,2020-05-27,12456
Afghanistan,2020-05-28,13036
Afghanistan,2020-05-29,13659
Afghanistan,2020-05-03,2704
Afghanistan,2020-05-30,14525
Afghanistan,2020-05-31,15205
Afghanistan,2020-05-04,2894
Afghanistan,2020-05-05,3224
Afghanistan,2020-05-06,3392
Afghanistan,2020-05-07,3563
Afghanistan,2020-05-08,3778
Afghanistan,2020-05-09,4033
Afghanistan,2020-06-01,15750
Afghanistan,2020-06-10,22142
Afghanistan,2020-06-11,22890
Afghanistan,2020-06-12,23546
Afghanistan,2020-06-13,24102
Afghanistan,2020-06-14,24766
Afghanistan,2020-06-15,25527
Afghanistan,2020-06-16,26310
Afghanistan,2020-06-17,26874
Afghanistan,2020-06-18,27532
Afghanistan,2020-06-19,27878
Afghanistan,2020-06-02,16509
Afghanistan,2020-06-20,28424
Afghanistan,2020-06-21,28833
Afghanistan,2020-06-22,29157
Afghanistan,2020-06-23,29481
Afghanistan,2020-06-24,29640
Afghanistan,2020-06-25,30175
Afghanistan,2020-06-26,30451
